
> stacklens-ai-platform@1.0.0 dev:server
> cross-env NODE_ENV=development node --import tsx --no-warnings apps/api/src/index.ts

[dotenv@17.2.3] injecting env (0) from .env -- tip: ⚙️  write to custom object with { processEnv: myObject }
[dotenv@17.2.3] injecting env (0) from .env -- tip: 🗂️ backup and recover secrets: https://dotenvx.com/ops
[dotenv@17.2.3] injecting env (0) from .env -- tip: 🛠️  run anywhere with `dotenvx run -- yourcommand`
🚀 RAG: Vector database initialized
{"level":"WARN","timestamp":"2025-11-21T12:43:32.251Z","logger":"kafkajs","message":"KafkaJS v2.0.0 switched default partitioner. To retain the same partitioning behavior as in previous versions, create the producer with the option \"createPartitioner: Partitioners.LegacyPartitioner\". See the migration guide at https://kafka.js.org/docs/migration-guide-v2.0.0#producer-new-default-partitioner for details. Silence this warning by setting the environment variable \"KAFKAJS_NO_PARTITIONER_WARNING=1\""}
🔄 Starting server initialization...
Starting LogWatcher service for real-time monitoring...
📍 Watching directories: /Users/deepak/Downloads/Projects/StackLens-AI-Deploy/data, /Users/deepak/Downloads/Projects/StackLens-AI-Deploy/logs
[LogWatcherService] Started watching 2 file(s)
✅ LogWatcher service started successfully
✅ Routes registered successfully
🔄 Setting up Vite...
📚 RAG: Indexing 50 resolved error patterns...
✅ RAG: Knowledge base populated with 50 patterns
🔄 Indexing existing errors for RAG system...
⚠️ Vector DB not initialized, storing patterns locally
✅ Successfully indexed 807 errors for RAG
✅ Enhanced RAG Suggestor initialized
🎯 Enhanced RAG system ready with vector database
🚀 Starting Python vector database service...
⚠️ Enhanced vector service not found, using fallback similarity search
✅ Vector database service initialized
Re-optimizing dependencies because vite config has changed
✅ Vite setup complete
6:13:53 PM [express] serving on port 4000
6:14:12 PM [express] GET /api/analytics/health-status 200 in 18ms :: {"success":true,"data":{"status…
6:14:20 PM [express] GET /api/analytics/health-status 200 in 4ms :: {"success":true,"data":{"status"…
6:14:24 PM [express] GET /api/auth/me 304 in 9ms :: {"user":{"id":1,"username":"deepanimators","emai…
6:14:24 PM [express] GET /api/admin/ui-settings 304 in 4ms :: {"theme":"light","sidebarCollapsed":fa…
6:14:24 PM [express] GET /api/admin/api-settings 304 in 2ms :: {"geminiApiKey":"","webhookUrl":"","m…
6:14:24 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:14:24 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:14:24 PM [express] GET /api/version 304 in 3ms :: {"version":"0.9.5","releaseDate":"2025-11-19","c…
6:14:24 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:14:29 PM [express] GET /api/analytics/metrics 200 in 3ms :: {"success":true,"data":{"window":"1min…
6:14:29 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:14:34 PM [express] GET /api/analytics/alerts 200 in 12ms :: {"success":true,"data":{"alerts":[],"t…
6:14:34 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:14:34 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:14:39 PM [express] GET /api/analytics/metrics 200 in 1ms :: {"success":true,"data":{"window":"1min…
6:14:40 PM [express] GET /api/analytics/health-status 200 in 2ms :: {"success":true,"data":{"status"…
6:14:44 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:14:45 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:14:45 PM [express] GET /api/analytics/health-status 200 in 4ms :: {"success":true,"data":{"status"…
6:14:50 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:14:50 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:14:55 PM [express] GET /api/analytics/alerts 200 in 2ms :: {"success":true,"data":{"alerts":[],"to…
6:14:55 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:14:55 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:15:00 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:15:00 PM [express] GET /api/analytics/health-status 200 in 3ms :: {"success":true,"data":{"status"…
6:15:05 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:15:05 PM [express] GET /api/analytics/metrics 200 in 2ms :: {"success":true,"data":{"window":"1min…
6:15:05 PM [express] GET /api/analytics/health-status 200 in 1ms :: {"success":true,"data":{"status"…
6:15:10 PM [express] GET /api/analytics/metrics 200 in 0ms :: {"success":true,"data":{"window":"1min…
6:15:10 PM [express] GET /api/analytics/health-status 200 in 2ms :: {"success":true,"data":{"status"…
6:15:15 PM [express] GET /api/analytics/alerts 200 in 1ms :: {"success":true,"data":{"alerts":[],"to…
6:15:15 PM [express] GET /api/analytics/metrics 200 in 3ms :: {"success":true,"data":{"window":"1min…
6:15:15 PM [express] GET /api/analytics/health-status 200 in 3ms :: {"success":true,"data":{"status"…
