2025-07-27/02:01:22.878/GMT-07:00  INFO LightStatusIndicatorController:[pool-42-thread-1] - Setting ATTENTION Indicator

2025-07-27/02:01:22.880/GMT-07:00  INFO JposStatusLightIndicator:[pool-42-thread-1] - Switching off color: GREEN

2025-07-27/02:01:22.880/GMT-07:00  INFO JposStatusLightIndicator:[pool-42-thread-1] - Setting status light mode to blink. Color: RED

2025-07-27/02:02:03.095/GMT-07:00  INFO LightStatusIndicatorController:[pool-42-thread-1] - Setting OK Indicator

2025-07-27/02:02:03.095/GMT-07:00  INFO JposStatusLightIndicator:[pool-42-thread-1] - Switching off color: RED

2025-07-27/02:02:03.096/GMT-07:00  INFO JposStatusLightIndicator:[pool-42-thread-1] - Switching status light color to: GREEN

2025-07-27/02:13:49.127/GMT-07:00  INFO JposStatusLightIndicator:[localhost-startStop-2] - Initializing device: dn-pole-light-c1030

2025-07-27/02:13:49.127/GMT-07:00  INFO JposStatusLightIndicator:[localhost-startStop-2] - Trying to connect to DN_SEL_ACO_C1030

2025-07-27/02:13:49.532/GMT-07:00  INFO ToneIndicatorOperation:[localhost-startStop-2] - Opening device: dn-pole-light-c1030

2025-07-27/02:13:50.069/GMT-07:00  INFO ToneIndicatorOperation:[localhost-startStop-2] - Open successful

2025-07-27/02:13:50.069/GMT-07:00  INFO ToneIndicatorOperation:[localhost-startStop-2] - Claiming device

2025-07-27/02:14:00.763/GMT-07:00  INFO JposStatusLightIndicator:[localhost-startStop-2] - Trying to connect to DN_Lights_RGBTrafficLight_RCB

2025-07-27/02:14:00.763/GMT-07:00  INFO LightStatusIndicatorOperation:[localhost-startStop-2] - Opening device: dn-pole-light-c1030-lights

2025-07-27/02:14:00.810/GMT-07:00  INFO LightStatusIndicatorOperation:[localhost-startStop-2] - Open successful

2025-07-27/02:14:00.810/GMT-07:00  INFO LightStatusIndicatorOperation:[localhost-startStop-2] - Claiming device

2025-07-27/02:14:04.216/GMT-07:00  INFO LightStatusIndicatorOperation:[localhost-startStop-2] - Claim successful

2025-07-27/02:14:04.216/GMT-07:00  INFO LightStatusIndicatorOperation:[localhost-startStop-2] - Power reporting is disabled. Skipping setting power notification.

2025-07-27/02:14:04.216/GMT-07:00  INFO LightStatusIndicatorOperation:[localhost-startStop-2] - Setting device to enabled

2025-07-27/02:14:04.404/GMT-07:00  INFO LightStatusIndicatorOperation:[localhost-startStop-2] - Device successfully enabled

2025-07-27/02:14:04.404/GMT-07:00  INFO JposStatusLightIndicator:[localhost-startStop-2] - Completed pole light device registration. time taken=15277 ms

2025-07-27/02:14:04.404/GMT-07:00  INFO JposStatusLightIndicator:[localhost-startStop-2] - Switching off color: GREEN

2025-07-27/02:14:04.404/GMT-07:00  INFO JposStatusLightIndicator:[localhost-startStop-2] - Switching off color: RED

2025-07-27/02:14:04.404/GMT-07:00  INFO JposStatusLightIndicator:[localhost-startStop-2] - Switching off color: YELLOW

2025-07-27/02:14:08.440/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-4] - Setting OK Indicator

2025-07-27/02:14:08.440/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-4] - Switching status light color to: GREEN

2025-07-27/02:14:08.594/GMT-07:00  INFO LightStatusIndicatorController:[pool-45-thread-1] - Setting ATTENTION Indicator

2025-07-27/02:14:08.595/GMT-07:00  INFO JposStatusLightIndicator:[pool-45-thread-1] - Switching off color: GREEN

2025-07-27/02:14:08.596/GMT-07:00  INFO JposStatusLightIndicator:[pool-45-thread-1] - Setting status light mode to blink. Color: RED

2025-07-27/02:14:13.769/GMT-07:00  INFO LightStatusIndicatorController:[pool-45-thread-1] - Setting OK Indicator

