2025-08-31/00:28:35.239/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
2025-08-31/00:28:35.255/EDT  INFO MenuSynchService:191 - Store [BK-2876] has been queued for a price sync.
2025-08-31/00:28:35.256/EDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-2876
2025-08-31/00:28:35.256/EDT  INFO MenuSynchService:157 - Store BK-2876 has been queued for a price sync.
2025-08-31/00:28:43.039/EDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:28:43.039/EDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:28:43.043/EDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-2876 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@1fced476[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 7787 ms
2025-08-31/00:28:43.043/EDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:29:17.337/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-2876
2025-08-31/00:29:17.337/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:29:17.338/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:29:17.338/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:29:17.338/EDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-2876 completed successfully. Took 1 ms
2025-08-31/00:29:17.338/EDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-2876 completed successfully for CACHE AND DATABASE. Took 42083 ms.
2025-08-31/00:29:55.313/EDT  INFO MenuSynchService:152 - Price sync called for store BK-2876
