2025-08-31/00:08:58.330/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/00:08:58.331/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/00:08:58.331/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/00:08:58.332/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/00:09:05.636/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/00:09:05.636/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/00:09:05.647/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@27edff24[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 7316 ms
2025-08-31/00:09:05.649/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/00:09:37.743/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/00:09:37.743/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/00:09:37.744/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/00:09:37.744/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/00:09:37.744/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 1 ms
2025-08-31/00:09:37.745/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 39414 ms.
2025-08-31/02:01:38.805/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:01:38.805/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:01:38.805/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:01:38.805/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:01:50.706/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:01:50.706/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:01:50.711/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@67a24b3d[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 11906 ms
2025-08-31/02:01:50.714/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:02:25.801/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
2025-08-31/02:02:25.801/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:78 - Checking if coupon support is enabled..
2025-08-31/02:02:25.803/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:80 - coupon_support=
2025-08-31/02:02:25.803/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:82 - Coupon support is NOT ENABLED
2025-08-31/02:02:25.803/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:167 - Coupon SmartUpsell synchronization for store BK-4878 completed successfully. Took 2 ms
2025-08-31/02:02:25.803/PDT  INFO MenuMDMSynchronizer:172 - Synchronizing menu for store BK-4878 completed successfully for CACHE AND DATABASE. Took 46998 ms.
2025-08-31/02:02:59.137/PDT  INFO MenuSynchService:152 - Price sync called for store BK-4878
2025-08-31/02:02:59.137/PDT  INFO MenuSynchService:191 - Store [BK-4878] has been queued for a price sync.
2025-08-31/02:02:59.137/PDT  INFO PosOfferingSynchronizerTransformer:75 - Synchronizing POS Offering for store BK-4878
2025-08-31/02:02:59.137/PDT  INFO MenuSynchService:157 - Store BK-4878 has been queued for a price sync.
2025-08-31/02:03:05.219/PDT  INFO PosOfferingSynchronizerTransformer:85 - Not populating pos offering cache, as no existing/new product updated or deleted or added.
2025-08-31/02:03:05.219/PDT  INFO PosOfferingSynchronizerTransformer:114 - Updating price sync complete flags.
2025-08-31/02:03:05.226/PDT  INFO PosOfferingSynchronizerTransformer:104 - POS Offering synchronization for store BK-4878 was successful=com.tillster.kiosk.processors.PosOfferingSynchronizationResult@6d245abe[updatePersisted=true,connectionSuccessful=true,productsModified=false] and took 6089 ms
2025-08-31/02:03:05.229/PDT  INFO MenuMDMSynchronizer:202 - Menu version to synchronize: af76e837-9a4b-4574-b894-42d62d9a1cd2[1.2890]
2025-08-31/02:03:39.998/PDT  INFO CouponSmartUpsellPriceSynchronizerImpl:148 - Synchronizing Coupon SmartUpsell items for store: BK-4878
