2025-07-22/02:06:08.285/PDT  INFO ConfigurationScheduleService:134:[tStop-7]: - Refreshed menu items availability

2025-07-22/02:06:10.100/PDT  INFO KioskWebServiceConfig:336:[tStop-7]: - External API not defined to publish kiosk status.

2025-07-22/02:06:14.370/PDT  INFO PosHealthCheckHelper:32:[-exec-1]: - Scheduling PosHealthCheckMonitor

2025-07-22/02:06:19.379/PDT  INFO AbstractEndpoint:192:[thcheck]: - POS for BK-4991 is online. Handler=CashPaymentHandler

2025-07-22/02:06:19.443/PDT  INFO AbstractEndpoint:192:[thcheck]: - POS for BK-4991 is online. Handler=SicomSL19PosHandler

2025-07-22/06:00:01.864/PDT  INFO MobileM8WebService:3990:[-exec-9]: - Flushing skumap

2025-07-22/06:00:02.312/PDT  INFO SocketTransport:68:[-exec-8]: - Sending GET_MENU_DATA message on socket: ip=192.168.1.80, port=3000, timeout=180000, message=
<?xml version="1.0"?>
<POSRequest action="DATABASE" terminal="51" vendor="TILLSTER">
</POSRequest>


2025-07-22/06:00:04.247/PDT  INFO SicomSL19XmlPosOrderpoint:768:[-exec-8]: - Attempting to persist POS offering

2025-07-22/06:00:04.259/PDT  INFO SicomSL19PosOrderpointHelper:113:[-exec-8]: - Starting full menu sync..

2025-07-22/06:00:04.396/PDT  INFO SicomSL19PosOrderpointHelper:588:[-exec-8]: - Persisting products

2025-07-22/06:00:04.624/PDT  INFO SicomSL19PosOrderpointHelper:627:[-exec-8]: - Product successfully persisted in 228 ms

2025-07-22/06:00:04.625/PDT  INFO SicomSL19PosOrderpointHelper:631:[-exec-8]: - Persisting modifiers

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:657:[-exec-8]: - Modifier successfully persisted in 138 ms

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:665:[-exec-8]: - Persisting value meal

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 28000455 Default level 1 price 99.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 28000455 Default level 2 price 99.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 28000455 Default level 3 price 99.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 28000455 Default level 4 price 99.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 28000455 Default level 5 price 5.89 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 28000455 Default level 6 price 5.89 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4898 Default level 3 price 4.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4898 Default level 4 price 4.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4898 Default level 5 price 3.69 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4898 Default level 6 price 3.69 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 3361 Default level 3 price 3.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 3361 Default level 4 price 3.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 3361 Default level 5 price 3.29 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 3361 Default level 6 price 3.29 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4513 Default level 7 price 4.99 added:

2025-07-22/06:00:04.763/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4513 Default level 8 price 4.99 added:

2025-07-22/06:00:04.779/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4601 Default level 5 price 3.89 added:

2025-07-22/06:00:04.779/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4601 Default level 6 price 3.89 added:

2025-07-22/06:00:04.779/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4601 Default level 7 price 4.99 added:

2025-07-22/06:00:04.780/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4601 Default level 8 price 4.99 added:

2025-07-22/06:00:04.780/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 1416 Default level 2 price 4.49 added:

2025-07-22/06:00:04.780/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4104 Default level 5 price 3.89 added:

2025-07-22/06:00:04.781/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4104 Default level 6 price 3.89 added:

2025-07-22/06:00:04.781/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4104 Default level 7 price 4.99 added:

2025-07-22/06:00:04.781/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 4104 Default level 8 price 4.99 added:

2025-07-22/06:00:04.782/PDT  INFO SicomSL19PosOrderpointHelper:505:[-exec-8]: - Value Meal 8401 Default level 7 price 3.99 added:

